"filename,url"
"Abbreviations.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/shortened-words-and-phrases/abbreviations"
"Academics and professionals.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/titles-honours-forms-address/academics-and-professionals"
"Acronyms and initialisms.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/shortened-words-and-phrases/acronyms-and-initialisms"
"Acts of parliament.md,https://www.stylemanual.gov.au/referencing-and-attribution/legal-material/acts-parliament"
"Adjectives.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/types-words/adjectives"
"Adverbs.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/types-words/adverbs"
"Apostrophes.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/punctuation/apostrophes"
"Australian Defence Force.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/titles-honours-forms-address/australian-defence-force"
"Australian place names.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/names-and-terms/australian-place-names"
"Authoritative reports.md,https://www.stylemanual.gov.au/referencing-and-attribution/legal-material/authoritative-reports"
"Awards and honours.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/titles-honours-forms-address/awards-and-honours"
"Bills and explanatory material.md,https://www.stylemanual.gov.au/referencing-and-attribution/legal-material/bills-and-explanatory-material"
"Brackets and parentheses.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/punctuation-and-capitalisation/brackets-and-parentheses"
"Cases and legal authorities.md,https://www.stylemanual.gov.au/referencing-and-attribution/legal-material/cases-and-legal-authorities"
"Choosing numerals or words.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/numbers-and-measurements/choosing-numerals-or-words"
"Clauses.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/parts-sentences/clauses"
"Colons.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/punctuation/colons"
"Commas.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/punctuation/commas"
"Commercial terms.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/names-and-terms/commercial-terms"
"Common misspellings and word confusion.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/spelling/common-misspellings-and-word-confusion"
"Conjunctions.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/types-words/conjunctions"
"Contractions.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/shortened-words-and-phrases/contractions"
"Currency.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/numbers-and-measurements/currency"
"Dashes.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/punctuation/dashes"
"Dates and time.md,https://www.stylemanual.gov.au/grammar-punctuation-and-conventions/numbers-and-measurements/dates-and-time"
"Delegated legislation.md,https://www.stylemanual.gov.au/referencing-and-attribution/legal-material/delegated-legislation"
